,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
478,478,2.0,0.3784,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Обеспечение обороноспособности и безопасности моей страны. вдохновение в работе присутствует ежедневно, мы одна команда!"
479,479,2.0,0.253,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Сделать жизнь конкретного человека лучше
480,480,1.0,0.3774,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Инвестирование в будущее на всех уровнях, начиная с участка."
481,481,2.0,0.2532,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Создание огромных круизных атомных дирижаблей.
482,482,1.0,0.2159,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Поиск и внедрение альтернативных источников энергии
483,483,3.0,0.252,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический","Единое мышление в трудовой сфере, знание направления пути Организации, возможность карьерного роста не только в Организации, но и во всей отрасли."
484,484,1.0,0.5776,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Выход корпорации в лидеры атомной промышленности, за счет уникального предложения, не имеющего аналогов на рынке."
485,485,8.0,0.4839,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Больше станций по всему миру. Больше контрактов. В Латинской Америке всего 3 станции. В Африке вообще одна. Всякая помощь своим сотрудникам (например помощь в ипотеке).
486,486,0.0,0.3143,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Разработка новейших технологий и высококачественного конкурентного оборудования (систем, комплексов)"
487,487,5.0,0.4906,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Строительство новых блоков и станций замещения
488,488,8.0,0.5554,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Достижение максимальной эффективности в работе машиностроительного дивизиона. Снижение себестоимости продукции не за счет сокращения основного производственного персонала (рабочих, ИТР) и перевода вспомогательных служб на аутсортинг, а пересмотр численности топ-менеджмента, ликвидация дублирующих друг друга дирекций с размытыми, не конкретизированными зонами ответственности. Необходимо позволить производственным подразделениям заниматься своей непосредственной работой, а не совмещать работу отдела кадров, снабжения и др."
489,489,1.0,0.3314,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Постоянное внедрение новейших инновационных разработок в области инженерии и технологии.
490,490,2.0,0.3175,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",обеспечение безопасности каждого человека
491,491,1.0,0.372,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Заинтересованность Госкорпорации в моем предприятии и развитие его в будущем. Наращивание портфеля заказов.
492,492,4.0,0.3141,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","Быть лидирующей мировой корпорацией в области энергетики! При этом термин ""Лидирующая"" должен отражать не только уровень авторитета и компетенции, но и соответствующие этому уровню зарплаты всех работников, а не только ""топ""руководителей."
493,493,9.0,0.3544,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","Развитие неядерного бизнеса, закрепление позиции на рынке перспективной продукции, в частности продукции из полимерных композиционных материалов (ПКМ)."
494,494,8.0,0.2924,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","для меня лично это уверенность в будущем, то есть не непрерывные преобразования, сокращения, объединения, разъединения, переименования, что в общем то по моему лишь видимость работы и способы отмывания и осваивания денег, а конкретные видимые результатымоей деятельности и деятельности росатома конкретно в моем городе, а не где то там, в красивых отчетах. пока на месте, конкретно здесь, на уэхк и моем предприятии, сейчас оно Центротех, все плохо и становиться только хуже никакие красивые визуализации и презентации на днях информирования меня и других работников ни в чем не убедят."
495,495,3.0,0.3105,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический",Выход титановой продукции на международные рынки.
496,496,2.0,0.4239,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Альтернативные источники энергии, например, использование энергии ""нулевой точки"", использование разработок Тесла."
497,497,1.0,0.2316,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Рост благосостояния сотрудников ГК и россиян в целом. Устранение нехватки медицинских специалистов в ЗАТО
498,498,1.0,0.3314,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",строительство атомных станций за рубежом
499,499,7.0,0.378,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Улучшение жизни людей в стране
500,500,2.0,0.1803,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Цель сохранить и передать будущим поколениям больше чем мы имеем сейчас.
501,501,1.0,0.4142,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Завоевание мировых рынков с получением прибыли, которая частично будет направлена на улучшение благосостояния сотрудников, участвующих в процессах достижения цели."
502,502,1.0,0.2212,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Развитие экономики РФ.
503,503,9.0,0.3215,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","Социальная значимость, к примеру чтобы завод помогал городу, а Росатом стране в целом"
504,504,1.0,0.4829,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","На мой взгляд, наибольшей актуальностью (применительно к конструкторской форме своей производственной деятельности) должна являться стратегическая цель - ""Новые продукты для российского и международных рынков"", что позволит укрепить и повысить в целом финансово-экономический потенциал как ООО ""НПО ""Центротех"", так и каждого отдельно взятого работника нашего предприятия, включая сотрудников любой категорийности."
505,505,1.0,0.2851,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Быть мировым лидером в области атомной энергетики
506,506,0.0,0.2372,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Стать лидером по атомной энергетике в мире (для меня это может осуществляться через освещение безопасности АЭ среди населения, привлечение и увлечение молодежи АЭС (и не только в атомных городах), развитие науки среди молодых на предприятиях). Именно меня может вдохновить участие в глобальном проекте, возможность обучения для развития своих компетенций, и получения дополнительных знаний в технической сфере"
507,507,8.0,0.5247,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Достижение конкретной цели (не в денежном эквиваленте), которая позволяет нашей Родине подтвердить статус великой державы и государства заботящегося о своих гражданах."
508,508,2.0,0.2322,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Польза для гражданского общества. Например, создание опреснительных комплексов большой мощности; реконструкция/создание предприятий пищевой промышленности (молоко, соль и т.п.); природоохранные мероприятия: предприятия, перерабатывающие накопленные и постоянно поступающие отходы - РТИ, нефтешламы, асбестовые отходы,бытовой мусор; производство удобрений; переработка медицинских отходов; производство особо чистых газов (ксенон, криптон, неон, гелий) и т.п.; переработка промышленных сточных вод."
509,509,3.0,0.4628,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический",Занять достойное место среди мировых корпораций.
510,510,2.0,0.368,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Компактный ядерный энергоисточник, непосредственно использующий энергию гамма-излучения (это нерешенная научно-техническая задача). По сути - превращение любых ""отходов-излучателей"" в энергоисточник и создание вместо ""могильников РАО"" ""РАО-электростанций"". Исследование физики полураспада, использование случайности распада отдельно взятого ядра как генератор случайных чисел, исследование распределения распада, интеграция физики полураспада в архитектуру вычислительных систем при создании искусственного интеллекта."
511,511,0.0,0.3159,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Замыкание ядерного топливного цикла. Повышение благосостояния работников.
512,512,6.0,0.207,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Обеспечение обороноспособности и безопасности РФ, а также повышение потенциала РФ на международном рынке"
513,513,5.0,0.1554,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Наука
514,514,2.0,0.2233,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Что продукция/услуги используются в решении значимых для страны/мира задач.
515,515,8.0,0.5183,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Защита Родины!
516,516,1.0,0.3735,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","освоение новых технологий, созидание, выпуск новой продукции, в том числе ТНП."
517,517,6.0,0.2475,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Программа развития отрасли, влияющая на подъем экономики страны в целом и обеспечивающая: -защиту своих сотрудников (гарантия работы); -финансовую стабильность."
518,518,9.0,0.3443,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","Мне сложно ответить на этот вопрос. Я и так вдохновлен своей работой, т.к. я работаю на строящемся предприятии и я понимаю какую огромную роль мы вносим в развитие ""Росатома""."
519,519,7.0,0.4743,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Повышение качества жизни в городе Северске, увеличение рабочих мест на градообразующем предприятии."
520,520,1.0,0.5312,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Ввести здравый смысл в работу, удалив дармоедов, организации - прокладки, кучу ненужных регламентов и документов"
521,521,7.0,0.2358,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",лидерство в атомной отрасли в мире
522,522,2.0,0.2103,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Вдохновить может любая масштабная задача направленная на укрепление позиций Росатома на мировом рынке. Однако главным условием будет являться ощущение причастности. Лично для меня неоценимый вес имеет ощущение моего личного вклада в общее дело.
523,523,8.0,0.251,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Новые производства (любых товаров/услуг) - во всех городах присутствия РОСАТОМ. Чем больше будет людей работать в производстве товаров-услуг, тем больше будет гордости и вдохновения к работе."
524,524,1.0,0.2871,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","повышение благосостояния жителей РФ, работа по выводу страны на уровень мировых лидеров в части здравоохранения, технологий, социального обеспечения, культуры и образования, качества жизни. развитие инновационной продукции, внедрение новых технологий, научно-исследовательская работа"
525,525,7.0,0.3544,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Повышение престижа России как мировой державы. Обеспечение каждого Россиянина инновационными продуктами и доступам к доступной электроэнергии. Поддержание обороноспособности страны.
526,526,8.0,0.4199,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Большая цель - Большая Зарплата
527,527,1.0,0.3306,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Разработка новых продуктов
528,528,0.0,0.3146,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Независимость РФ
529,529,7.0,0.303,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Надежность и безопасность работы АЭС и ТЭЦ
530,530,1.0,0.3595,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Ставить перед собой все новые и новые задачи и выполнять стратегические цели Росатома.
531,531,6.0,0.5842,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Развития предприятия, вклад каждого в общее дело."
532,532,8.0,0.2323,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Принять к сведению содержание статьи ""Что будет, когда китайцы достроят «искусственное солнце»? Новая эра или тотальное обнищание России?"" Ссылка на источник далее. https://zen.yandex.ru/media/istoricheskie_fakty/chto-budet-kogda-kitaicy-dostroiat-iskusstvennoe-solnce-novaia-era-ili-totalnoe-obniscanie-rossii-5c861198a7af8400b34ce254"
533,533,5.0,0.3551,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Создание продуктов высокого качества, которые будут иметь абсолютные преимущества перед конкурентами, тем самым вызывая интерес большого количества заказчиков и интенсивно увеличивая портфель заказов Госкорпорации. Если в двух словах - создание привлекательного с точки зрения инвесторов продукта высочайшего качества."
534,534,1.0,0.2902,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Работа на результат, в атмосфере справедливости."
535,535,2.0,0.2786,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Развитие и поддержка ОЦК!!!
536,536,6.0,0.2871,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",возможность сделать жизнь людей лучше
537,537,7.0,0.3544,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Технологический рывок; работа на благо государства и граждан
538,538,5.0,0.3659,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Мой ежедневный труд наполнен смыслом.
539,539,2.0,0.3615,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","В моей работе очень полезным было бы взаимодействие с другим дивизионом. На данный момент инструмента связи нет. Мы с коллегой работаем уже полтора года над совместным проектом, в рамках одного из проектов корпакадемии, движимые лишь энтузиазмом и личной преданностью профессии. Нас не интересует финансовая мотивация, мы лишь хотим двигать свою профессию вперед. Для меня ""большой целью"" может стать некая структура, которая будет включать в себя активистов, вроде нас, обеспечивая нам возможность работать совместно, как носителей опыта. Междивизиональные распри не дают раскрыть потенциал проекта полностью."
540,540,8.0,0.2227,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","на работу меня может вдохновить материальное стимулирование (денежное вознаграждение, повышение реальной заработной платы)."
541,541,1.0,0.4313,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Международное сотрудничество
542,542,9.0,0.2512,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",Безопасность сотрудников атомной отрасли.
543,543,8.0,0.3436,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Развитие передовых технологий и передача опыта партнерами социальной сфере
544,544,8.0,0.278,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Новые, конкурентные энергоблоки в России и за рубежом."
545,545,2.0,0.2233,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Программа ввода новых АЭС в РФ
546,546,8.0,0.2701,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Защита Родины
547,547,2.0,0.3016,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Развитие технологий и создание продуктов направленных на улучшение жизни людей.
548,548,1.0,0.3014,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Перспектива внедрения и развития моих результатов работы
549,549,4.0,0.3118,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Трансформация Росатома в глобальную международную корпорацию
550,550,1.0,0.2574,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","снижение себестоимости продукта за счет внедрения новых технологий. (новое программное обеспечение на всех этапах производства, современное безопасное оборудование, модернизация или замена устаревшего оборудования со сроком более 10 лет- независимо от его состояния, сокращение всех согласующих сторон при закупках, документооборота)"
551,551,1.0,0.3705,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Тотальная модернизация отрасли.
552,552,1.0,0.2746,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Восстановление и развитие отрасли станкостроение.
553,553,1.0,0.3595,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Обеспечивать доступной и стабильной электроэнергией Россию и зарубежные страны. Обеспечивать достойную зарплату сотрудникам атомной отрасли за счёт повышения эффективности работы.
554,554,1.0,0.2894,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Работать так, чтобы окружающий мир стал безопаснее и чище."
555,555,1.0,0.3345,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Большие деньги
556,556,0.0,0.2458,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Заработать больше денег.
557,557,2.0,0.2786,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Служить интересам нашей родины.
558,558,1.0,0.3314,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Улучшение качества жизни людей
559,559,7.0,0.303,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Вклад в укрепление экономики и безопасности РФ
560,560,3.0,0.2332,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический","Обеспечение безопасности и стабильности жизни граждан России, уверенность в завтрашнем дне"
561,561,2.0,0.3678,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Мероприятие для сотрудников корпорации в форме конкурса, позволяющее показать в полной мере способности и умения работника в профессиональном и в творческом плане,своего рода набор заданий, выполнение которых позволит получить материальное вознаграждение или ценный подарок, либо путешествие."
562,562,5.0,0.3925,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Безопасность и целостность государства. А вообще, главное что-бы у детей было все хорошо, для этого и тружусь."
563,563,2.0,0.4571,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Никакая. Для меня важнее содержание моей работы, отношение ко мне, а не лозунги. Но учитывая арктическое направление, меня бы вдохновило, если бы новой ценностью Росатома стало что-нибудь экологическое. Судьба белых медведей в Арктике, по идее, теперь должна Росатом интересовать не меньше тоннажа перевозимого Северным морским путем грузов. Еще меня интересует тема мусора, которого мы, несмотря на всю чистоту нашей энергии, производим массу. Как мы его утилизируем, как мы можем внедрить эти технологии в отечественный мусорный бизнес, как, опять таки, мы можем помочь решить проблему арктического мусора?.."
564,564,7.0,0.2957,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Материальное стимулирование специалистов узкого профиля на море будет лучшим вдохновением для ежедневной плодотворной работы.
565,565,5.0,0.2552,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Сейчас большая и первоочерёдная цель Росатома - это внедрение новых технологий и развитие цифровой трансформации. Считаю, что работа в данной сфере даст серьёзные плоды. С Цифровой трансформацией мы сможем вывести не только Росатом на новый уровень бизнеса, но и поставить Россию на первую ступень пьедестала цифровых технологий мира!"
566,566,2.0,0.3417,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Интересная работа над новым проектом.
567,567,7.0,0.2204,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Сделать счастливым каждого рядового работника предприятий атомной отрасли
568,568,1.0,0.332,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Всего и так хватает.
569,569,8.0,0.2528,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Сделать мир для людей вокруг лучше (чище, безопаснее, справедливее)."
570,570,8.0,0.278,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Укрепление и расширение влияния на международном рынке.
571,571,1.0,0.3659,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Участие в создании ледокола Лидер.
572,572,1.0,0.2581,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Действительное, а не фиктивное, восстановление реального сектора экономики России. Я считаю это приведет к экономическому благополучию всех граждан нашей страны."
573,573,7.0,0.3544,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Увеличение рынков сбыта ядерного топлива, а следовательно и увеличение прибыли предприятий, которая должна использоваться для его развития и стимулирования работников, при этом для работников обязательно должна быть понятна стратегия развития и перспектива существования их предприятия."
574,574,6.0,0.3915,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Большая цель - большой космос
575,575,7.0,0.3015,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Вдохновить может любая рациональная производственная задача, подкрепленная льготной программой обеспечения жильем работников Госкорпорации ""Росатом"". Аналогичная программа была внедрена  на АО ""МСЗ"" (г. Электросталь, Московская область), но по какой-то причине не была принята в отрасли, была отвергнута руководством кадровой службы Госкорпорации ""Росатом"". Голые лозунги при отсутствии социальной политики работать не будут."
576,576,2.0,0.2444,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Я осознаю ценность моего ежедневного труда, доверяю выбору Росатома. Поэтому если возникнут новые ""большие цели"" Росатома - буду рада участвовать и в дальнейших проектах ГК."
577,577,2.0,0.5089,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","""Большая цель"" которая сможет сделать жизнь большинства россиян лучше, в том числе и мою. То есть та цель, результаты которой я могу увидеть своими глазами и результатами которой я могу пользоваться, а также если эта работа для этой цели будет хорошо оплачиваться."
578,578,8.0,0.4813,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Сделать наш мир безопасным для будущего наших детей, с точки зрения предотвращения техногенных и экологических катастроф"
579,579,1.0,0.3921,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Создание фотонного двигателя для путешествий в дальний космос
580,580,9.0,0.2934,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",внедрение ценностей Росатом на нашем предприятии
